"date","conf","line","ttq","type","team1","team1_wp","team1_pts","team2","team2_wp","team2_pts","game_id","year"
2021-11-09,"NEC at A10","La Salle -10.7, 77-66 (85%)",23.63830838167301,"nc","Sacred Heart",0.15176111970875986,66.38386321479851,"La Salle",0.8482388802912402,77.09924844376764,"Sacred HeartLa Salle11-9",2022
2021-11-09,"MVC at Amer","Cincinnati -17.1, 72-55 (96%)",23.50804906696514,"nc","Evansville",0.04227859136885412,54.69974896272288,"Cincinnati",0.957721408631146,71.74997279255466,"EvansvilleCincinnati11-9",2022
2021-11-09,"BW at P12","USC -22.0, 77-55 (98%)",23.375604170933546,"nc","Cal St. Northridge",0.02020818188962813,54.77763269224647,"USC",0.979791818110372,76.7675611456404,"Cal St. NorthridgeUSC11-9",2022
2021-11-09,"AE at ACC","Virginia Tech -30.4, 82-52 (99%)",23.05434172388374,"nc","Maine",0.00506864860705426,52.12768167985936,"Virginia Tech",0.9949313513929458,82.49945894808123,"MaineVirginia Tech11-9",2022
2021-11-09,"SWAC at BE","Creighton -27.1, 85-58 (99%)",21.25815718962179,"nc","Arkansas Pine Bluff",0.01166023235513307,57.59804720919298,"Creighton",0.988339767644867,84.7378115021695,"Arkansas Pine BluffCreighton11-9",2022
2021-11-09,"NEC at BE","Connecticut -28.7, 81-52 (99%)",21.175742466365456,"nc","Central Connecticut",0.00620913562120894,51.8056892089179,"Connecticut",0.993790864378791,80.54759422827152,"Central ConnecticutConnecticut11-9",2022
2021-11-09,"SWAC at Amer","South Florida -9.5, 64-55 (86%)",18.95259577316137,"nc","Bethune Cookman",0.1356025706838792,54.55908388487775,"South Florida",0.8643974293161207,64.09421838651826,"Bethune CookmanSouth Florida11-9",2022
2021-11-09,"SB at Slnd","Texas St. -12.8, 72-59 (90%)",17.123069106700072,"nc","Texas St.",0.9044984610101569,72.22432710447167,"Incarnate Word",0.09550153898984326,59.39903332112369,"Texas St.Incarnate Word11-9",2022
2021-11-09,"Ivy at A10","Fordham -17.3, 75-58 (95%)",16.026103821107704,"nc","Columbia",0.04616608921253536,57.552304523713225,"Fordham",0.9538339107874646,74.8899532507161,"ColumbiaFordham11-9",2022
2021-11-09,"OVC at B10","Northwestern -25.1, 75-50 (99%)",15.438384740622618,"nc","Eastern Illinois",0.00920905971995805,50.07919885506633,"Northwestern",0.990790940280042,75.21989815690614,"Eastern IllinoisNorthwestern11-9",2022
