"","date","tv","opponent","arena","location","time","team"
"8551",2022-11-11,"ESPN+","Howard","Charles E. Smith Center","Home","18:00","George Washington"
"8552",2022-11-15,NA,"Hofstra","David S. Mack Sports and Exhibition Complex","Away","19:00","George Washington"
"8553",2022-11-19,"ESPN+","Maryland Eastern Shore","Charles E. Smith Center","Home","19:00","George Washington"
"8554",2022-11-23,"ESPN+","UC San Diego","Charles E. Smith Center","Home","19:00","George Washington"
"8555",2022-11-26,"ESPN+","New Hampshire","Charles E. Smith Center","Home","14:00","George Washington"
"8556",2022-12-01,NA,"South Carolina","Charles E. Smith Center","Home","21:00","George Washington"
"8557",2022-12-04,"ESPN+","Radford","Donald N. Dedmon Center","Away","14:00","George Washington"
"8558",2022-12-10,"ESPN+","American","Charles E. Smith Center","Home","16:00","George Washington"
"8559",2022-12-13,"ESPN+","Coppin St.","Charles E. Smith Center","Home","18:00","George Washington"
"8560",2022-12-23,"ESPN2","Washington St.","Stan Sheriff Center","Neutral","21:00","George Washington"
"8561",2022-12-31,"ESPN+","Loyola Chicago","Joseph J. Gentile Arena","Away","16:00","George Washington"
"8562",2023-01-05,"ESPN+","Richmond","Robins Center","Away","19:00","George Washington"
"8563",2023-01-07,NA,"Massachusetts","Charles E. Smith Center","Home","14:00","George Washington"
"8564",2023-01-14,NA,"Saint Louis","Charles E. Smith Center","Home","16:00","George Washington"
"8565",2023-01-16,NA,"George Mason","EagleBank Arena","Away","16:00","George Washington"
"8566",2023-01-21,NA,"Dayton","Charles E. Smith Center","Home","12:30","George Washington"
"8567",2023-01-26,"ESPN+","Saint Joseph's","Charles E. Smith Center","Home","19:00","George Washington"
"8568",2023-01-28,"ESPN+","Fordham","Rose Hill Gymnasium","Away","14:00","George Washington"
"8569",2023-02-02,"ESPN+","La Salle","Tom Gola Arena","Away","19:00","George Washington"
"8570",2023-02-04,NA,"Duquesne","Charles E. Smith Center","Home","14:00","George Washington"
"8571",2023-02-09,"ESPN+","Richmond","Charles E. Smith Center","Home","19:00","George Washington"
"8572",2023-02-11,"ESPN+","Saint Joseph's","Michael J. Hagan '85 Arena","Away","13:00","George Washington"
"8573",2023-02-16,NA,"George Mason","Charles E. Smith Center","Home","19:00","George Washington"
"8574",2023-02-19,NA,"St. Bonaventure","Reilly Center","Away","14:00","George Washington"
"8575",2023-02-23,"ESPN+","Rhode Island","Ryan Center","Away","19:00","George Washington"
"8576",2023-02-25,"ESPN+","La Salle","Charles E. Smith Center","Home","18:00","George Washington"
"8577",2023-03-02,"ESPN+","Davidson","John M. Belk Arena","Away","19:00","George Washington"
"8578",2023-03-04,NA,"VCU","Charles E. Smith Center","Home","16:30","George Washington"
"8579",2022-11-08,NA,"North Florida","McCarthey Athletic Center","Home","21:00","Gonzaga"
"8580",2022-11-11,"ESPN","Michigan St.","USS Abraham Lincoln","Neutral","18:30","Gonzaga"
"8581",2022-11-17,"ESPN2","Texas","Moody Center","Away","21:30","Gonzaga"
"8582",2022-11-21,"ESPN","Kentucky","Spokane Arena","Home","19:30","Gonzaga"
"8583",2022-11-25,"ESPN","Portland St.","Veterans Memorial Coliseum","Neutral","00:30","Gonzaga"
"8584",2022-12-03,NA,"Baylor","Sanford Pentagon","Neutral","20:00","Gonzaga"
"8585",2022-12-06,NA,"Kent St.","McCarthey Athletic Center","Home","21:00","Gonzaga"
"8586",2022-12-10,NA,"Washington","McCarthey Athletic Center","Home","21:00","Gonzaga"
"8587",2022-12-13,NA,"Northern Illinois","McCarthey Athletic Center","Home","21:00","Gonzaga"
"8588",2022-12-17,NA,"Alabama","Legacy Arena at BJCC","Neutral","13:00","Gonzaga"
"8589",2022-12-21,NA,"Montana","McCarthey Athletic Center","Home","21:00","Gonzaga"
"8590",2022-12-28,NA,"Eastern Oregon","McCarthey Athletic Center","Home","17:00","Gonzaga"
"8591",2022-12-31,NA,"Pepperdine","McCarthey Athletic Center","Home","17:00","Gonzaga"
"8592",2023-01-06,"ESPN2","San Francisco","War Memorial at the Sobrato Center","Away","23:00","Gonzaga"
"8593",2023-01-08,NA,"Santa Clara","Leavey Center","Away","22:00","Gonzaga"
"8594",2023-01-13,"ESPN","BYU","Marriott Center","Away","21:30","Gonzaga"
"8595",2023-01-15,"ESPN2","Portland","McCarthey Athletic Center","Home","22:00","Gonzaga"
"8596",2023-01-19,NA,"Loyola Marymount","McCarthey Athletic Center","Home","00:00","Gonzaga"
"8597",2023-01-22,NA,"Pacific","Alex G. Spanos Center","Away","22:00","Gonzaga"
"8598",2023-01-29,NA,"Portland","Chiles Center","Away","19:00","Gonzaga"
"8599",2023-02-03,NA,"Santa Clara","McCarthey Athletic Center","Home","23:00","Gonzaga"
"8600",2023-02-04,NA,"Saint Mary's","University Credit Union Pavilion","Away","00:00","Gonzaga"
"8601",2023-02-10,"ESPN2","San Francisco","McCarthey Athletic Center","Home","21:00","Gonzaga"
"8602",2023-02-12,NA,"BYU","McCarthey Athletic Center","Home","22:00","Gonzaga"
"8603",2023-02-17,NA,"Loyola Marymount","Gersten Pavilion","Away","23:00","Gonzaga"
"8604",2023-02-19,NA,"Pepperdine","Firestone Fieldhouse","Away","19:00","Gonzaga"
"8605",2023-02-24,"ESPN2","San Diego","McCarthey Athletic Center","Home","23:00","Gonzaga"
"8606",2023-02-26,"ESPN","Saint Mary's","McCarthey Athletic Center","Home","22:00","Gonzaga"
"8607",2023-03-02,NA,"Chicago St.","McCarthey Athletic Center","Home","21:00","Gonzaga"
"8608",2022-11-08,"ESPN+","Montana St.","GCU Arena","Home","21:00","Grand Canyon"
"8609",2022-11-10,"ESPN+","San Diego Christian","GCU Arena","Home","21:00","Grand Canyon"
"8610",2022-11-12,NA,"Nevada","Lawlor Events Center","Away","16:00","Grand Canyon"
"8611",2022-11-19,"ESPN+","Grambling St.","GCU Arena","Home","21:00","Grand Canyon"
"8612",2022-11-21,"CBSSN","Wichita St.","T-Mobile Center","Neutral","15:00","Grand Canyon"
"8613",2022-11-27,"ESPN+","Pepperdine","GCU Arena","Home","20:00","Grand Canyon"
"8614",2022-11-30,"ESPN+","Alcorn St.","GCU Arena","Home","21:00","Grand Canyon"
"8615",2022-12-03,NA,"Wyoming","Arena Auditorium","Away","16:00","Grand Canyon"
"8616",2022-12-08,"ESPN+","Loyola Marymount","GCU Arena","Home","21:00","Grand Canyon"
"8617",2022-12-10,"ESPN+","North Texas","Footprint Center","Neutral","17:30","Grand Canyon"
"8618",2022-12-18,"ESPN+","Embry-Riddle (AZ)","GCU Arena","Home","20:00","Grand Canyon"
"8619",2022-12-21,"ESPN+","Idaho St.","GCU Arena","Home","21:00","Grand Canyon"
"8620",2022-12-30,"ESPN+","Cal Baptist","GCU Arena","Home","21:00","Grand Canyon"
"8621",2023-01-06,"ESPN+","Sam Houston St.","Bernard G. Johnson Coliseum","Away","19:30","Grand Canyon"
"8622",2023-01-07,"ESPN+","Stephen F. Austin","William R. Johnson Coliseum","Away","15:00","Grand Canyon"
"8623",2023-01-13,"ESPN+","UT Arlington","GCU Arena","Home","21:00","Grand Canyon"
"8624",2023-01-15,"ESPN+","Cal Baptist","CBU Events Center","Away","22:00","Grand Canyon"
"8625",2023-01-19,"ESPN+","Utah Tech","GCU Arena","Home","21:00","Grand Canyon"
"8626",2023-01-22,"ESPN+","Utah Valley","GCU Arena","Home","20:00","Grand Canyon"
"8627",2023-01-27,"ESPN+","Abilene Christian","Moody Coliseum (Abilene)","Away","20:00","Grand Canyon"
"8628",2023-01-29,NA,"Tarleton St.","Wisdom Gym","Away","20:00","Grand Canyon"
"8629",2023-02-05,"ESPN+","Stephen F. Austin","GCU Arena","Home","20:00","Grand Canyon"
"8630",2023-02-10,"ESPN+","New Mexico St.","GCU Arena","Home","21:00","Grand Canyon"
"8631",2023-02-12,"ESPN+","Seattle","Redhawk Center","Away","22:00","Grand Canyon"
"8632",2023-02-16,"ESPN+","UT Rio Grande Valley","GCU Arena","Home","21:00","Grand Canyon"
"8633",2023-02-18,"ESPNU","Abilene Christian","GCU Arena","Home","23:00","Grand Canyon"
"8634",2023-02-23,"ESPN+","New Mexico St.","Pan American Center","Away","21:00","Grand Canyon"
"8635",2023-02-25,"ESPN+","Seattle","GCU Arena","Home","21:00","Grand Canyon"
"8636",2023-03-02,"ESPN+","Southern Utah","America First Events Center","Away","21:00","Grand Canyon"
"8637",2023-03-04,NA,"Utah Tech","Burns Arena","Away","21:00","Grand Canyon"
"8638",2022-11-08,"ESPN3","Indiana St.","Hulman Center","Away","19:00","Green Bay"
"8639",2022-11-12,NA,"Georgetown","Capital One Arena","Away","11:00","Green Bay"
"8640",2022-11-16,"BTN","Wisconsin","Kohl Center","Away","21:00","Green Bay"
"8641",2022-11-18,NA,"Queens University","Montego Bay Convention Centre","Neutral","11:30","Green Bay"
"8642",2022-11-27,"ESPN+","Illinois Chicago","Kress Events Center","Home","19:00","Green Bay"
"8643",2022-12-02,"ESPN+","Milwaukee","Resch Center","Home","20:00","Green Bay"
"8644",2022-12-05,"ESPN+","IUPUI","Resch Center","Home","12:00","Green Bay"
"8645",2022-12-07,"ESPN+","Loyola Chicago","Joseph J. Gentile Arena","Away","20:00","Green Bay"
"8646",2022-12-11,"ESPN+","UKMC","Resch Center","Home","20:00","Green Bay"
"8647",2022-12-14,NA,"St. Thomas","Schoenecker Arena","Away","20:00","Green Bay"
"8648",2022-12-17,NA,"Stanford","Maples Pavilion","Away","20:00","Green Bay"
"8649",2022-12-18,NA,"Oregon St.","Gill Coliseum","Away","15:00","Green Bay"
"8650",2022-12-30,"ESPN+","Detroit","Calihan Hall","Away","19:00","Green Bay"
"8651",2022-12-31,"ESPN+","Oakland","Athletics Center O'rena","Away","15:00","Green Bay"
"8652",2023-01-06,"ESPN+","Fort Wayne","Allen County War Memorial Coliseum","Away","19:00","Green Bay"
"8653",2023-01-07,"ESPN+","Cleveland St.","Wolstein Center","Away","15:00","Green Bay"
"8654",2023-01-13,"ESPN+","Wright St.","Resch Center","Home","20:00","Green Bay"
"8655",2023-01-15,"ESPN+","Northern Kentucky","Resch Center","Home","19:00","Green Bay"
"8656",2023-01-20,"ESPN+","Youngstown St.","Resch Center","Home","20:00","Green Bay"
"8657",2023-01-22,"ESPN+","Robert Morris","Resch Center","Home","19:00","Green Bay"
"8658",2023-01-27,"ESPN+","Northern Kentucky","Truist Arena","Away","19:00","Green Bay"
"8659",2023-01-29,"ESPN+","Wright St.","Nutter Center","Away","19:00","Green Bay"
"8660",2023-02-04,"ESPN+","IUPUI","Indiana Farmers Coliseum","Away","12:00","Green Bay"
"8661",2023-02-07,"ESPN+","Milwaukee","UW-Milwaukee Panther Arena","Away","20:00","Green Bay"
"8662",2023-02-10,"ESPN+","Oakland","Kress Events Center","Home","20:00","Green Bay"
"8663",2023-02-12,"ESPN+","Detroit","Kress Events Center","Home","19:00","Green Bay"
"8664",2023-02-17,"ESPN+","Robert Morris","UPMC Events Center","Away","19:00","Green Bay"
"8665",2023-02-18,"ESPN+","Youngstown St.","Beeghly Center","Away","14:00","Green Bay"
"8666",2023-02-24,"ESPN+","Cleveland St.","Resch Center","Home","21:00","Green Bay"
"8667",2023-02-26,"ESPN+","Fort Wayne","Resch Center","Home","19:00","Green Bay"
"8668",2022-11-09,NA,"Sacred Heart","Chase Arena","Home","19:00","Hartford"
"8669",2022-11-11,NA,"NVU-Lyndon","Chase Arena","Home","19:00","Hartford"
"8670",2022-11-13,NA,"St. Francis PA","DeGol Arena","Away","19:00","Hartford"
"8671",2022-11-18,"ESPN+","Boston University","Case Gym","Away","19:00","Hartford"
"8672",2022-11-19,NA,"Houghton College","Chase Arena","Home","14:00","Hartford"
"8673",2022-11-22,NA,"FDU-Florham","Chase Arena","Home","18:00","Hartford"
"8674",2022-11-25,"ESPN+","Penn","The Palestra","Away","16:30","Hartford"
"8675",2022-11-26,NA,"Delaware","The Palestra","Neutral","14:00","Hartford"
"8676",2022-11-27,NA,"Colgate","The Palestra","Neutral","14:00","Hartford"
"8677",2022-12-01,NA,"Fairleigh Dickinson","Chase Arena","Home","19:00","Hartford"
"8678",2022-12-04,NA,"Brown","Chase Arena","Home","14:00","Hartford"
"8679",2022-12-07,NA,"St. Francis Brooklyn","Pope Physical Education Center","Away","19:00","Hartford"
"8680",2022-12-14,NA,"Saint Peter's","Chase Arena","Home","19:00","Hartford"
"8681",2022-12-17,NA,"St. Francis Brooklyn","Chase Arena","Home","16:00","Hartford"
"8682",2022-12-23,NA,"San Francisco","War Memorial at the Sobrato Center","Away","21:00","Hartford"
"8683",2022-12-30,NA,"Morgan St.","Chase Arena","Home","18:00","Hartford"
"8684",2023-01-07,NA,"Sacred Heart","William H. Pitt Center","Away","14:00","Hartford"
"8685",2023-01-11,NA,"St. Francis Brooklyn","Pope Physical Education Center","Away","19:00","Hartford"
"8686",2023-01-16,"ESPN+","UMBC","Chesapeake Employers Insurance Arena","Away","17:00","Hartford"
"8687",2023-01-18,NA,"Morgan St.","Hill Field House","Away","18:00","Hartford"
"8688",2023-01-24,NA,"Penn","Chase Arena","Home","19:00","Hartford"
"8689",2023-01-26,NA,"Stonehill","Chase Arena","Home","19:00","Hartford"
"8690",2023-02-04,NA,"Chicago St.","Chase Arena","Home","14:00","Hartford"
"8691",2023-02-06,NA,"UMass Lowell","Chase Arena","Home","18:00","Hartford"
"8692",2023-02-09,NA,"Central Connecticut","Chase Arena","Home","19:00","Hartford"
"8693",2023-02-14,"ESPN+","South Alabama","Mitchell Center","Away","20:00","Hartford"
"8694",2023-02-17,NA,"Merrimack","Chase Arena","Home","19:00","Hartford"
"8695",2023-02-19,NA,"Chicago St.","Jones Convocation Center","Away","15:00","Hartford"
"8696",2022-11-08,"ESPN+","Pfeiffer","Nido and Mariana Qubein Arena","Home","20:00","High Point"
"8697",2022-11-12,"ESPN+","Wofford","Nido and Mariana Qubein Arena","Home","16:00","High Point"
"8698",2022-11-16,"ESPN+","Lees McRae","Nido and Mariana Qubein Arena","Home","19:00","High Point"
"8699",2022-11-19,NA,"UNLV","Thomas & Mack Center","Away","22:00","High Point"
"8700",2022-11-21,NA,"Central Michigan","JSerra Pavillion","Neutral","17:30","High Point"
"8701",2022-12-01,"ESPN+","Elon","Nido and Mariana Qubein Arena","Home","19:00","High Point"
"8702",2022-12-03,"ESPN+","North Florida","Nido and Mariana Qubein Arena","Home","14:00","High Point"
"8703",2022-12-07,"ESPN+","Furman","Timmons Arena","Away","19:00","High Point"
"8704",2022-12-10,"ESPN+","Queens University","Nido and Mariana Qubein Arena","Home","19:00","High Point"
"8705",2022-12-18,NA,"UNC Wilmington","Trask Coliseum","Away","14:00","High Point"
"8706",2022-12-21,"ESPN+","East Carolina","Williams Arena at Minges Coliseum","Away","00:00","High Point"
"8707",2022-12-29,"ESPN+","Longwood","Willett Hall","Away","00:00","High Point"
"8708",2022-12-31,"ESPN+","Gardner Webb","Nido and Mariana Qubein Arena","Home","14:00","High Point"
"8709",2023-01-05,"ESPN+","UNC Asheville","Nido and Mariana Qubein Arena","Home","19:00","High Point"
"8710",2023-01-07,"ESPN+","USC Upstate","G.B. Hodge Center","Away","15:00","High Point"
"8711",2023-01-12,"ESPN+","Charleston Southern","Buccaneer Fieldhouse","Away","19:00","High Point"
"8712",2023-01-15,"ESPN+","Presbyterian","Nido and Mariana Qubein Arena","Home","19:00","High Point"
"8713",2023-01-19,"ESPN+","Winthrop","Nido and Mariana Qubein Arena","Home","19:00","High Point"
"8714",2023-01-21,"ESPN+","Radford","Donald N. Dedmon Center","Away","14:00","High Point"
"8715",2023-01-26,"ESPN+","Campbell","Nido and Mariana Qubein Arena","Home","19:00","High Point"
"8716",2023-01-28,"ESPN+","Gardner Webb","Paul Porter Arena","Away","14:00","High Point"
"8717",2023-02-01,"ESPN+","UNC Asheville","Kimmel Arena","Away","18:30","High Point"
"8718",2023-02-05,"ESPN+","Charleston Southern","Nido and Mariana Qubein Arena","Home","19:00","High Point"
"8719",2023-02-09,"ESPN+","Campbell","John W. Pope Jr. Convocation Center","Away","19:00","High Point"
"8720",2023-02-11,"ESPN+","Longwood","Nido and Mariana Qubein Arena","Home","16:00","High Point"
"8721",2023-02-16,"ESPN+","Presbyterian","Ross E. Templeton P.E. Center","Away","19:00","High Point"
"8722",2023-02-18,"ESPN3","USC Upstate","Nido and Mariana Qubein Arena","Home","16:00","High Point"
"8723",2023-02-23,"ESPN+","Radford","Nido and Mariana Qubein Arena","Home","19:00","High Point"
"8724",2023-02-25,"ESPN+","Winthrop","Winthrop Coliseum","Away","14:00","High Point"
"8725",2022-11-08,"BIG12|ESPN+","Iowa St.","James H. Hilton Coliseum","Away","20:00","IUPUI"
"8726",2022-11-10,"ESPN+","Drake","The Knapp Center","Away","20:00","IUPUI"
"8727",2022-11-15,NA,"Chicago St.","Jones Convocation Center","Away","20:00","IUPUI"
"8728",2022-11-19,"ESPN+","Franklin","Indiana Farmers Coliseum","Home","12:00","IUPUI"
"8729",2022-11-23,NA,"Denver","Lakefront Arena","Neutral","15:00","IUPUI"
"8730",2022-11-24,"ESPN+","New Orleans","Lakefront Arena","Away","15:00","IUPUI"
"8731",2022-11-25,NA,"The Citadel","Lakefront Arena","Neutral","16:00","IUPUI"
"8732",2022-12-04,"ESPN+","Milwaukee","UW-Milwaukee Panther Arena","Away","20:00","IUPUI"
"8733",2022-12-05,"ESPN+","Green Bay","Resch Center","Away","12:00","IUPUI"
"8734",2022-12-12,"ESPN+","Spalding","Indiana Farmers Coliseum","Home","11:00","IUPUI"
"8735",2022-12-17,"ESPN+","Eastern Illinois","Indiana Farmers Coliseum","Home","12:00","IUPUI"
"8736",2022-12-19,"ESPN+","Southern Indiana","Allen County War Memorial Coliseum","Neutral","16:00","IUPUI"
"8737",2022-12-20,"ESPN+","Texas A&M-Commerce","Allen County War Memorial Coliseum","Neutral","16:00","IUPUI"
"8738",2022-12-31,"ESPN+","Northern Kentucky","Indiana Farmers Coliseum","Home","14:00","IUPUI"
"8739",2023-01-02,"ESPN+","Wright St.","Indiana Farmers Coliseum","Home","14:00","IUPUI"
"8740",2023-01-07,"ESPN+","Youngstown St.","Beeghly Center","Away","14:00","IUPUI"
"8741",2023-01-10,"ESPN+","Robert Morris","UPMC Events Center","Away","19:00","IUPUI"
"8742",2023-01-13,"ESPN+","Fort Wayne","Indiana Farmers Coliseum","Home","19:00","IUPUI"
"8743",2023-01-14,"ESPN+","Cleveland St.","Indiana Farmers Coliseum","Home","12:00","IUPUI"
"8744",2023-01-20,"ESPN+","Oakland","Indiana Farmers Coliseum","Home","19:00","IUPUI"
"8745",2023-01-21,"ESPN+","Detroit","Indiana Farmers Coliseum","Home","12:00","IUPUI"
"8746",2023-01-26,"ESPN+","Fort Wayne","Allen County War Memorial Coliseum","Away","19:00","IUPUI"
"8747",2023-01-29,"ESPN+","Cleveland St.","Wolstein Center","Away","15:00","IUPUI"
"8748",2023-02-02,"ESPN+","Milwaukee","Indiana Farmers Coliseum","Home","00:00","IUPUI"
"8749",2023-02-04,"ESPN+","Green Bay","Indiana Farmers Coliseum","Home","12:00","IUPUI"
"8750",2023-02-09,"ESPN+","Wright St.","Nutter Center","Away","19:00","IUPUI"
"8751",2023-02-12,"ESPN+","Northern Kentucky","Truist Arena","Away","13:00","IUPUI"
"8752",2023-02-16,"ESPN+","Oakland","Athletics Center O'rena","Away","19:00","IUPUI"
"8753",2023-02-19,"ESPN+","Detroit","Calihan Hall","Away","13:00","IUPUI"
"8754",2023-02-24,"ESPN+","Robert Morris","Indiana Farmers Coliseum","Home","19:30","IUPUI"
"8755",2023-02-26,"ESPN+","Youngstown St.","Indiana Farmers Coliseum","Home","19:00","IUPUI"
"8756",2022-11-08,"ESPN+","Penn","Hynes Athletics Center","Home","19:00","Iona"
"8757",2022-11-12,NA,"Hofstra","David S. Mack Sports and Exhibition Complex","Away","19:00","Iona"
"8758",2022-11-19,"ESPN+","Vermont","Mohegan Sun Arena","Neutral","19:30","Iona"
"8759",2022-11-27,NA,"Santa Clara","Orleans Arena","Neutral","23:59","Iona"
"8760",2022-12-03,"ESPN3","Niagara","Hynes Athletics Center","Home","19:00","Iona"
"8761",2022-12-04,"ESPN+","Canisius","Hynes Athletics Center","Home","13:00","Iona"
"8762",2022-12-07,"ESPN+","Saint Louis","Hynes Athletics Center","Home","19:00","Iona"
"8763",2022-12-11,NA,"St. Bonaventure","Barclays Center","Neutral","11:30","Iona"
"8764",2022-12-14,NA,"Princeton","Harwood Arena","Neutral","19:00","Iona"
"8765",2022-12-18,NA,"New Mexico","The Pit","Away","18:30","Iona"
"8766",2022-12-22,"ESPNU","SMU","Stan Sheriff Center","Neutral","15:00","Iona"
"8767",2023-01-01,"ESPN3","Saint Peter's","Hynes Athletics Center","Home","16:00","Iona"
"8768",2023-01-07,"ESPN+","Marist","McCann Arena","Away","19:00","Iona"
"8769",2023-01-08,"ESPN+","Quinnipiac","M&T Bank Arena","Away","14:00","Iona"
"8770",2023-01-14,"ESPN+","Fairfield","Hynes Athletics Center","Home","19:00","Iona"
"8771",2023-01-15,"ESPN3","Rider","Hynes Athletics Center","Home","13:00","Iona"
"8772",2023-01-21,"ESPN+","Manhattan","Draddy Gymnasium","Away","19:00","Iona"
"8773",2023-01-28,"ESPN+","Siena","MVP Arena","Away","19:00","Iona"
"8774",2023-01-29,"ESPN3","Quinnipiac","Hynes Athletics Center","Home","13:00","Iona"
"8775",2023-02-04,"ESPN3","Mount St. Mary's","Hynes Athletics Center","Home","19:00","Iona"
"8776",2023-02-05,"ESPN3","Fairfield","Leo D. Mahoney Arena","Away","14:00","Iona"
"8777",2023-02-11,"ESPN3","Canisius","Koessler Athletic Center","Away","19:00","Iona"
"8778",2023-02-12,"ESPN+","Niagara","Gallagher Center","Away","13:00","Iona"
"8779",2023-02-18,"ESPN3","Manhattan","Hynes Athletics Center","Home","19:00","Iona"
"8780",2023-02-19,"ESPN+","Saint Peter's","Yanitelli Center","Away","14:00","Iona"
"8781",2023-02-25,"ESPN+","Mount St. Mary's","Knott Arena","Away","19:00","Iona"
"8782",2023-02-26,"ESPN3","Siena","Hynes Athletics Center","Home","13:00","Iona"
"8783",2023-03-03,"ESPN3","Marist","Hynes Athletics Center","Home","19:00","Iona"
"8784",2023-03-05,"ESPN+","Rider","Alumni Gymnasium (Rider)","Away","19:00","Iona"
"8785",2022-11-08,NA,"Lincoln (MO)","Swinney Recreation Center","Home","20:00","UKMC"
"8786",2022-11-10,"ESPN+","LSU","Pete Maravich Assembly Center","Away","20:00","UKMC"
"8787",2022-11-10,"SECN+","LSU","Pete Maravich Assembly Center","Away","20:00","UKMC"
"8788",2022-11-12,"BTN","Illinois","State Farm Center","Away","21:00","UKMC"
"8789",2022-11-15,NA,"Calvary","Swinney Recreation Center","Home","20:00","UKMC"
"8790",2022-11-17,"BIG12|ESPN+","Kansas St.","Bramlage Coliseum","Away","18:30","UKMC"
"8791",2022-11-21,NA,"Toledo","Hertz Arena","Neutral","11:00","UKMC"
"8792",2022-11-27,NA,"SIU Edwardsville","Swinney Recreation Center","Home","20:00","UKMC"
"8793",2022-11-30,NA,"Idaho St.","Swinney Recreation Center","Home","20:00","UKMC"
"8794",2022-12-04,NA,"Lindenwood","Swinney Recreation Center","Home","20:00","UKMC"
"8795",2022-12-07,"ESPN+","Oklahoma","Lloyd Noble Center","Away","20:00","UKMC"
"8796",2022-12-11,"ESPN+","Green Bay","Resch Center","Away","20:00","UKMC"
"8797",2022-12-20,NA,"South Dakota","Swinney Recreation Center","Home","20:00","UKMC"
"8798",2022-12-22,NA,"South Dakota St.","Swinney Recreation Center","Home","20:00","UKMC"
"8799",2022-12-30,NA,"Denver","Hamilton Gymnasium","Away","21:00","UKMC"
"8800",2022-12-31,NA,"Nebraska Omaha","Baxter Arena","Away","14:00","UKMC"
"8801",2023-01-08,NA,"Oral Roberts","Mabee Center","Away","20:00","UKMC"
"8802",2023-01-13,NA,"St. Thomas","Swinney Recreation Center","Home","20:00","UKMC"
"8803",2023-01-15,NA,"Western Illinois","Swinney Recreation Center","Home","20:00","UKMC"
"8804",2023-01-20,"ESPN+","North Dakota","Betty Engelstad Sioux Center","Away","20:00","UKMC"
"8805",2023-01-21,"ESPN+","North Dakota St.","Scheels Center","Away","14:00","UKMC"
"8806",2023-01-27,NA,"Nebraska Omaha","Swinney Recreation Center","Home","20:00","UKMC"
"8807",2023-01-29,NA,"Denver","Swinney Recreation Center","Home","20:00","UKMC"
"8808",2023-02-05,NA,"Oral Roberts","Swinney Recreation Center","Home","20:00","UKMC"
"8809",2023-02-10,NA,"Western Illinois","LeRoy A. Ufkes Court at Western Hall","Away","19:00","UKMC"
"8810",2023-02-12,NA,"St. Thomas","Schoenecker Arena","Away","20:00","UKMC"
"8811",2023-02-17,NA,"North Dakota St.","Swinney Recreation Center","Home","20:00","UKMC"
"8812",2023-02-19,NA,"North Dakota","Swinney Recreation Center","Home","20:00","UKMC"
"8813",2023-02-24,"ESPN+","South Dakota St.","Frost Arena","Away","20:00","UKMC"
"8814",2023-02-26,"ESPN3","South Dakota","Sanford Coyote Sports Center","Away","20:00","UKMC"
"8815",2022-11-07,"FS1","Villanova","Finneran Pavilion","Away","18:30","La Salle"
"8816",2022-11-12,"ESPN+","Wagner","Tom Gola Arena","Home","15:00","La Salle"
"8817",2022-11-16,"ESPN+","Queens University","Tom Gola Arena","Home","19:00","La Salle"
"8818",2022-11-18,"CBSSN","Wake Forest","Montego Bay Convention Centre","Neutral","14:00","La Salle"
"8819",2022-11-26,"ESPN+","Binghamton","Tom Gola Arena","Home","14:00","La Salle"
"8820",2022-11-30,NA,"Temple","The Palestra","Neutral","18:00","La Salle"
"8821",2022-12-03,"ESPN+","Penn","The Palestra","Away","15:00","La Salle"
"8822",2022-12-07,"ESPN+","Bucknell","Tom Gola Arena","Home","19:00","La Salle"
"8823",2022-12-10,NA,"Drexel","Tom Gola Arena","Home","12:00","La Salle"
"8824",2022-12-17,"ESPN+","Cincinnati","Fifth Third Arena","Away","14:00","La Salle"
"8825",2022-12-22,"ESPN+","Lafayette","Tom Gola Arena","Home","19:00","La Salle"
"8826",2022-12-29,NA,"Howard","Burr Gymnasium","Away","14:00","La Salle"
"8827",2022-12-31,"ESPN+","VCU","Stuart C. Siegel Center","Away","14:00","La Salle"
"8828",2023-01-07,"ESPN+","Rhode Island","Tom Gola Arena","Home","14:00","La Salle"
"8829",2023-01-12,"ESPN+","Massachusetts","William D. Mullins Memorial Center","Away","19:00","La Salle"
"8830",2023-01-14,"ESPN+","Fordham","Tom Gola Arena","Home","15:00","La Salle"
"8831",2023-01-16,NA,"Saint Joseph's","Tom Gola Arena","Home","14:00","La Salle"
"8832",2023-01-21,NA,"Saint Louis","Chaifetz Arena","Away","14:30","La Salle"
"8833",2023-01-25,"ESPN+","Davidson","Tom Gola Arena","Home","19:00","La Salle"
"8834",2023-01-28,"ESPN+","Rhode Island","Ryan Center","Away","14:00","La Salle"
"8835",2023-02-02,"ESPN+","George Washington","Tom Gola Arena","Home","19:00","La Salle"
"8836",2023-02-05,"ESPNU","Saint Joseph's","Michael J. Hagan '85 Arena","Away","12:00","La Salle"
"8837",2023-02-09,"ESPN+","St. Bonaventure","Reilly Center","Away","19:00","La Salle"
"8838",2023-02-11,"ESPN+","Massachusetts","Tom Gola Arena","Home","14:00","La Salle"
"8839",2023-02-16,"ESPN+","Richmond","Tom Gola Arena","Home","19:00","La Salle"
"8840",2023-02-18,"ESPN+","George Mason","EagleBank Arena","Away","16:00","La Salle"
"8841",2023-02-23,"ESPN+","Duquesne","Tom Gola Arena","Home","19:00","La Salle"
"8842",2023-02-25,"ESPN+","George Washington","Charles E. Smith Center","Away","18:00","La Salle"
"8843",2023-02-28,NA,"Dayton","UD Arena","Away","00:00","La Salle"
